#,dist(asec),prob.,link ref,link,identifier,typ,coord1 (ICRS J2000/2000),Mag U,Mag B,Mag V,Mag R,Mag I,spec. type,#bib,#not
3621,572.28,100,2010ApJS..186..191C,B,2MASS J02183295+5716577,*,02 18 32.9547464143 +57 16 57.782194401,~,~,16.4569,~,15.2233,F6.3V,3,0
3622,504.26,100,2010ApJS..186..191C,B,2MASS J02180908+5713141,*,02 18 09.0868726296 +57 13 14.089328760,~,~,16.2407,~,15.2540,F0.6V,2,0
3623,560.67,100,2010ApJS..186..191C,B,2MASS J02193272+5716061,*,02 19 32.7400490352 +57 16 06.064973436,~,~,16.416,~,15.240,F4.8V,2,0
3624,547.07,100,2010ApJS..186..191C,B,2MASS J02191221+5716569,*,02 19 12.2158130760 +57 16 56.859869820,~,~,16.456,~,15.236,F7.1V,2,0
3625,287.42,100,2010ApJS..186..191C,B,2MASS J02191851+5704094,*,02 19 18.5247563232 +57 04 09.566637960,~,~,16.527,~,15.2410,F3.1V,3,0
3626,287.42,100,2018A&A...616A..10G,B,2MASS J02191851+5704094,*,02 19 18.5247563232 +57 04 09.566637960,~,~,16.527,~,15.2410,F3.1V,3,0
3627,556.09,100,2010ApJS..186..191C,B,2MASS J02184297+5658596,*,02 18 42.9776909472 +56 58 59.685163896,~,~,16.3014,~,15.2657,F5.5V,2,0
3628,332.61,80,2020A&A...633A..99C,B,2MASS J02182301+5710567,*,02 18 23.0141275944 +57 10 56.662137984,~,~,16.4417,~,15.2527,F7.8V,5,0
3629,332.61,80,2020A&A...640A...1C,B,2MASS J02182301+5710567,*,02 18 23.0141275944 +57 10 56.662137984,~,~,16.4417,~,15.2527,F7.8V,5,0
3630,332.61,100,2010ApJS..186..191C,B,2MASS J02182301+5710567,*,02 18 23.0141275944 +57 10 56.662137984,~,~,16.4417,~,15.2527,F7.8V,5,0
3631,332.61,100,2018A&A...616A..10G,B,2MASS J02182301+5710567,*,02 18 23.0141275944 +57 10 56.662137984,~,~,16.4417,~,15.2527,F7.8V,5,0
3632,303.06,50,2020A&A...633A..99C,B,2MASS J02191662+5712240,*,02 19 16.6289853696 +57 12 24.124113432,~,~,16.356,~,15.279,A6.1V,3,0
3633,303.06,100,2010ApJS..186..191C,B,2MASS J02191662+5712240,*,02 19 16.6289853696 +57 12 24.124113432,~,~,16.356,~,15.279,A6.1V,3,0
3634,510.36,100,2010ApJS..186..191C,B,2MASS J02181226+5713534,*,02 18 12.2720861352 +57 13 53.453379000,~,~,16.520,~,15.2625,F7.3V,2,0
3635,439.23,60,2020A&A...633A..99C,B,2MASS J02182966+5714172,*,02 18 29.6660024616 +57 14 17.193923700,~,~,16.3122,~,15.2867,F1.3V,4,0
3636,439.23,100,2010ApJS..186..191C,B,2MASS J02182966+5714172,*,02 18 29.6660024616 +57 14 17.193923700,~,~,16.3122,~,15.2867,F1.3V,4,0
3637,439.23,100,2018A&A...616A..10G,B,2MASS J02182966+5714172,*,02 18 29.6660024616 +57 14 17.193923700,~,~,16.3122,~,15.2867,F1.3V,4,0
3638,490.96,90,2020A&A...633A..99C,B,2MASS J02194947+5712167,*,02 19 49.4765880768 +57 12 16.775097948,~,~,16.3284,~,15.288,F1.6V,5,0
3639,490.96,90,2020A&A...640A...1C,B,2MASS J02194947+5712167,*,02 19 49.4765880768 +57 12 16.775097948,~,~,16.3284,~,15.288,F1.6V,5,0
3640,490.96,100,2010ApJS..186..191C,B,2MASS J02194947+5712167,*,02 19 49.4765880768 +57 12 16.775097948,~,~,16.3284,~,15.288,F1.6V,5,0
3641,490.96,100,2018A&A...616A..10G,B,2MASS J02194947+5712167,*,02 19 49.4765880768 +57 12 16.775097948,~,~,16.3284,~,15.288,F1.6V,5,0
3642,596.44,100,2010ApJS..186..191C,B,2MASS J02192694+5717098,*,02 19 26.9673804864 +57 17 09.900389940,~,~,16.3217,~,15.293,A4.6V,2,0
3643,523.14,80,2020A&A...633A..99C,B,2MASS J02195953+5710295,*,02 19 59.5441975416 +57 10 29.586165744,~,~,16.3042,~,15.295,F5.0V,5,0
3644,523.14,80,2020A&A...640A...1C,B,2MASS J02195953+5710295,*,02 19 59.5441975416 +57 10 29.586165744,~,~,16.3042,~,15.295,F5.0V,5,0
3645,523.14,100,2010ApJS..186..191C,B,2MASS J02195953+5710295,*,02 19 59.5441975416 +57 10 29.586165744,~,~,16.3042,~,15.295,F5.0V,5,0
3646,523.14,100,2018A&A...616A..10G,B,2MASS J02195953+5710295,*,02 19 59.5441975416 +57 10 29.586165744,~,~,16.3042,~,15.295,F5.0V,5,0
3647,278.26,100,2010ApJS..186..191C,B,2MASS J02182825+5710219,*,02 18 28.2526112112 +57 10 21.979727796,~,~,16.3800,~,15.2871,F4.0V,2,0
3648,497.52,100,2010ApJS..186..191C,B,2MASS J02195746+5709522,*,02 19 57.4767065904 +57 09 52.202814948,~,~,16.472,~,15.278,A9.8V,3,0
3649,497.52,100,2018A&A...616A..10G,B,2MASS J02195746+5709522,*,02 19 57.4767065904 +57 09 52.202814948,~,~,16.472,~,15.278,A9.8V,3,0
3650,588.04,100,2010ApJS..186..191C,B,2MASS J02200569+5711251,*,02 20 05.6974169568 +57 11 25.228258080,~,~,16.580,~,15.276,F8.9V,2,0
3651,484.34,60,2020A&A...633A..99C,B,2MASS J02194308+5713172,*,02 19 43.1067185472 +57 13 17.254189092,~,~,16.3252,~,15.305,F1.1V,3,0
3652,484.34,100,2010ApJS..186..191C,B,2MASS J02194308+5713172,*,02 19 43.1067185472 +57 13 17.254189092,~,~,16.3252,~,15.305,F1.1V,3,0
3653,535.91,70,2020A&A...633A..99C,B,2MASS J02175200+5708006,*,02 17 52.0054933968 +57 08 00.650758308,~,~,16.2710,~,15.325,F1.6V,5,0
3654,535.91,70,2020A&A...640A...1C,B,2MASS J02175200+5708006,*,02 17 52.0054933968 +57 08 00.650758308,~,~,16.2710,~,15.325,F1.6V,5,0
3655,535.91,100,2010ApJS..186..191C,B,2MASS J02175200+5708006,*,02 17 52.0054933968 +57 08 00.650758308,~,~,16.2710,~,15.325,F1.6V,5,0
3656,535.91,100,2018A&A...616A..10G,B,2MASS J02175200+5708006,*,02 17 52.0054933968 +57 08 00.650758308,~,~,16.2710,~,15.325,F1.6V,5,0
3657,521.95,100,2010ApJS..186..191C,B,2MASS J02183973+5716233,*,02 18 39.7547182512 +57 16 23.240196732,~,~,16.3632,~,15.325,F1.0V,3,0
3658,521.95,100,2018A&A...616A..10G,B,2MASS J02183973+5716233,*,02 18 39.7547182512 +57 16 23.240196732,~,~,16.3632,~,15.325,F1.0V,3,0
3659,528.73,100,2010ApJS..186..191C,B,2MASS J02193518+5715153,*,02 19 35.1903305568 +57 15 15.315742656,~,~,16.507,~,15.311,F6.9V,2,0
3660,323.47,100,2010ApJS..186..191C,B,2MASS J02193729+5707245,*,02 19 37.2999928608 +57 07 24.584764152,~,~,16.612,~,15.3041,F2.1V,2,0
3661,413.25,100,2010ApJS..186..191C,B,2MASS J02181640+5704039,*,02 18 16.4187386592 +57 04 03.893088036,~,~,16.540,~,15.3268,F9.0V,2,0
3662,584.89,100,2010ApJS..186..191C,B,2MASS J02174947+5705034,*,02 17 49.4802381144 +57 05 03.402551904,~,~,16.3635,~,15.3470,F4.8V,2,0
3663,328.60,70,2020A&A...633A..99C,B,[CCR2014] 679,*,02 18 25.1163081120 +57 11 15.081338148,~,~,16.478,~,15.335,F6.3V,5,0
3664,328.60,70,2020A&A...640A...1C,B,[CCR2014] 679,*,02 18 25.1163081120 +57 11 15.081338148,~,~,16.478,~,15.335,F6.3V,5,0
3665,328.60,100,2010ApJS..186..191C,B,[CCR2014] 679,*,02 18 25.1163081120 +57 11 15.081338148,~,~,16.478,~,15.335,F6.3V,5,0
3666,328.60,100,2018A&A...616A..10G,B,[CCR2014] 679,*,02 18 25.1163081120 +57 11 15.081338148,~,~,16.478,~,15.335,F6.3V,5,0
3667,556.97,100,2010ApJS..186..191C,B,2MASS J02180977+5701265,*,02 18 09.7786227600 +57 01 26.542679988,~,~,16.4859,~,15.3431,F3.4V,2,0
3668,319.97,50,2020A&A...633A..99C,B,2MASS J02193032+5705026,*,02 19 30.3326739864 +57 05 02.593783320,~,~,16.4222,~,15.352,F0.7V,3,0
3669,319.97,100,2010ApJS..186..191C,B,2MASS J02193032+5705026,*,02 19 30.3326739864 +57 05 02.593783320,~,~,16.4222,~,15.352,F0.7V,3,0
3670,436.95,100,2010ApJS..186..191C,B,2MASS J02185312+5715177,*,02 18 53.1267738528 +57 15 17.666373348,~,~,16.3899,~,15.357,A9.3V,3,0
3671,436.95,100,2018A&A...616A..10G,B,2MASS J02185312+5715177,*,02 18 53.1267738528 +57 15 17.666373348,~,~,16.3899,~,15.357,A9.3V,3,0
3672,314.39,100,2010ApJS..186..191C,B,2MASS J02193646+5708047,*,02 19 36.4610661792 +57 08 04.827503220,~,~,16.4841,~,15.348,F1.0V,3,0
3673,314.39,100,2018A&A...616A..10G,B,2MASS J02193646+5708047,*,02 19 36.4610661792 +57 08 04.827503220,~,~,16.4841,~,15.348,F1.0V,3,0
3674,579.35,100,2010ApJS..186..191C,B,2MASS J02174667+5708137,*,02 17 46.6790719632 +57 08 13.726073940,~,~,16.2696,~,15.3790,A9.3V,2,0
3675,253.55,60,2020A&A...633A..99C,B,ZTF J021914.74+570429.6,RS*,02 19 14.7462393624 +57 04 29.522360208,~,~,16.4128,~,15.366,A9.6V,5,0
3676,253.55,100,2010ApJS..186..191C,B,ZTF J021914.74+570429.6,RS*,02 19 14.7462393624 +57 04 29.522360208,~,~,16.4128,~,15.366,A9.6V,5,0
3677,253.55,100,2018A&A...616A..10G,B,ZTF J021914.74+570429.6,RS*,02 19 14.7462393624 +57 04 29.522360208,~,~,16.4128,~,15.366,A9.6V,5,0
3678,487.39,100,2010ApJS..186..191C,B,2MASS J02195754+5708392,*,02 19 57.5523319536 +57 08 39.184657944,~,~,16.678,~,15.340,F6.5V,2,0
3679,284.54,80,2020A&A...633A..99C,B,2MASS J02192972+5706060,*,02 19 29.7254883456 +57 06 06.058315980,~,~,16.4041,~,15.372,F0.4V,5,0
3680,284.54,80,2020A&A...640A...1C,B,2MASS J02192972+5706060,*,02 19 29.7254883456 +57 06 06.058315980,~,~,16.4041,~,15.372,F0.4V,5,0
3681,284.54,100,2010ApJS..186..191C,B,2MASS J02192972+5706060,*,02 19 29.7254883456 +57 06 06.058315980,~,~,16.4041,~,15.372,F0.4V,5,0
3682,284.54,100,2018A&A...616A..10G,B,2MASS J02192972+5706060,*,02 19 29.7254883456 +57 06 06.058315980,~,~,16.4041,~,15.372,F0.4V,5,0
3683,486.10,100,2010ApJS..186..191C,B,2MASS J02190455+5659593,*,02 19 04.5541269480 +56 59 59.395375896,~,~,16.645,~,15.349,F7.6V,2,0
3684,533.77,100,2010ApJS..186..191C,B,2MASS J02175492+5710339,*,02 17 54.9302120376 +57 10 33.936693024,~,~,16.629,~,15.358,F9.7V,2,0
3685,589.29,100,2010ApJS..186..191C,B,2MASS J02182663+5716543,*,02 18 26.6522808984 +57 16 54.447647088,~,~,16.604,~,15.364,F4.6V,2,0
3686,587.44,100,2010ApJS..186..191C,B,2MASS J02175191+5704043,*,02 17 51.9254598072 +57 04 04.319826780,~,~,16.4833,~,15.3811,F4.2V,3,0
3687,587.44,100,2018A&A...616A..10G,B,2MASS J02175191+5704043,*,02 17 51.9254598072 +57 04 04.319826780,~,~,16.4833,~,15.3811,F4.2V,3,0
3688,493.01,100,2010ApJS..186..191C,B,2MASS J02181798+5701515,*,02 18 17.9873117664 +57 01 51.556828872,~,~,16.683,~,15.3613,G2.4V,2,0
3689,540.01,100,2010ApJS..186..191C,B,2MASS J02192966+5700088,*,02 19 29.6621386896 +57 00 08.828967096,~,~,16.558,~,15.376,F6.4V,2,0
3690,490.01,100,2010ApJS..186..191C,B,2MASS J02175763+5708050,*,02 17 57.6430783440 +57 08 05.095910832,~,~,16.573,~,15.3771,G1.5V,2,0
3691,566.67,100,2010ApJS..186..191C,B,2MASS J02185341+5658368,*,02 18 53.4105288888 +56 58 36.884539992,~,~,16.471,~,15.401,F5.6V,2,0
3692,531.46,100,2010ApJS..186..191C,B,2MASS J02194793+5702223,*,02 19 47.9446942248 +57 02 22.286611500,~,~,16.847,~,15.364,G1.2V,3,0
3693,531.46,100,2018A&A...616A..10G,B,2MASS J02194793+5702223,*,02 19 47.9446942248 +57 02 22.286611500,~,~,16.847,~,15.364,G1.2V,3,0
3694,395.99,100,2010ApJS..186..191C,B,2MASS J02183198+5702270,*,02 18 31.9923759384 +57 02 27.095444484,~,~,16.545,~,15.400,F2.9V,3,0
